feature,decile,bin,min_value,max_value,n,n_default,default_rate
loan_tenure_months,9,"(81.0, 201.0]",82.0,201.0,9534,1904,0.19970631424375918
loan_tenure_months,10,"(201.0, 360.0]",202.0,360.0,9640,3087,0.3202282157676348
interest_rate,1,"(2.011, 7.356]",2.0115836701926675,7.356109048383058,9675,1698,0.17550387596899225
interest_rate,2,"(7.356, 8.785]",7.356195804062144,8.784755759882833,9675,1367,0.14129198966408268
interest_rate,3,"(8.785, 9.903]",8.784793043543388,9.902838893002015,9675,1219,0.12599483204134368
interest_rate,4,"(9.903, 10.938]",9.902996240633332,10.937852243383166,9675,1083,0.11193798449612404
interest_rate,5,"(10.938, 11.938]",10.938104436441076,11.938257062367319,9675,1056,0.10914728682170542
interest_rate,6,"(11.938, 13.005]",11.938299626175207,13.005319727486029,9674,974,0.10068224105850734
interest_rate,7,"(13.005, 14.298]",13.005397250248645,14.29769020278119,9675,904,0.09343669250645995
interest_rate,8,"(14.298, 16.221]",14.297713151988992,16.220669368635416,9675,971,0.10036175710594315
interest_rate,9,"(16.221, 22.812]",16.221458780588787,22.812140381391398,9675,875,0.09043927648578812
interest_rate,10,"(22.812, 32.414]",22.813090744663185,32.41367637955487,9675,591,0.06108527131782946
monthly_income,1,"(5428.590999999999, 12362.41]",5428.5919194682865,12361.978082330057,9675,2033,0.21012919896640828
monthly_income,2,"(12362.41, 16784.765]",12362.51737384395,16784.64241581235,9675,1548,0.16
monthly_income,3,"(16784.765, 20638.283]",16784.84611078612,20638.1458233734,9675,1267,0.13095607235142118
monthly_income,4,"(20638.283, 24608.056]",20638.48945081896,24608.015910679344,9675,1179,0.12186046511627907
monthly_income,5,"(24608.056, 28824.625]",24608.214399576802,28824.624864547994,9675,1031,0.10656330749354005
monthly_income,6,"(28824.625, 33716.452]",28825.396770818334,33715.479140835625,9674,930,0.09613396733512508
monthly_income,7,"(33716.452, 39872.923]",33716.694740923216,39872.73669391947,9675,853,0.08816537467700258
monthly_income,8,"(39872.923, 48545.522]",39873.04761831559,48545.36367579954,9675,765,0.07906976744186046
monthly_income,9,"(48545.522, 63317.333]",48545.7603199553,63316.780100303295,9675,647,0.0668733850129199
monthly_income,10,"(63317.333, 111022.767]",63319.54600972143,111022.76698586222,9675,485,0.050129198966408266
monthly_expenses,1,"(2992.97, 6592.56]",2992.970826414316,6592.134424032837,9675,1786,0.18459948320413436
monthly_expenses,2,"(6592.56, 9084.851]",6592.666904353,9084.730850684009,9675,1385,0.14315245478036176
monthly_expenses,3,"(9084.851, 11334.229]",9084.930334373008,11334.009501938577,9675,1248,0.1289922480620155
monthly_expenses,4,"(11334.229, 13652.948]",11334.559381309105,13652.926958396109,9675,1082,0.11183462532299741
monthly_expenses,5,"(13652.948, 16188.694]",13653.029974014533,16188.694163278673,9675,1070,0.11059431524547804
monthly_expenses,6,"(16188.694, 19089.097]",16188.863878877668,19088.94310326922,9674,1021,0.10554062435393839
monthly_expenses,7,"(19089.097, 22713.573]",19089.135178874476,22713.56567777677,9675,915,0.09457364341085271
monthly_expenses,8,"(22713.573, 27869.991]",22713.578345973372,27869.94690859467,9675,871,0.09002583979328166
monthly_expenses,9,"(27869.991, 37186.351]",27870.057324441463,37186.02907531869,9675,759,0.07844961240310078
monthly_expenses,10,"(37186.351, 67627.147]",37187.64061606375,67627.14695373308,9675,601,0.062118863049095606
existing_loan_count,1,"(-0.001, 1.0]",0.0,1.0,64223,6113,0.09518396836024477
existing_loan_count,2,"(1.0, 2.0]",2.0,2.0,20700,2750,0.13285024154589373
existing_loan_count,3,"(2.0, 3.0]",3.0,3.0,8567,1328,0.15501342360219447
existing_loan_count,4,"(3.0, 9.0]",4.0,9.0,3259,547,0.16784289659404725
existing_loan_amount,1,"(-0.001, 27353.817]",0.0,27353.726431849267,38700,3702,0.09565891472868217
existing_loan_amount,2,"(27353.817, 43962.513]",27354.18114838182,43962.513093217756,9675,1344,0.13891472868217053
existing_loan_amount,3,"(43962.513, 61934.964]",43964.49544444934,61930.30313079844,9674,1268,0.1310729791192888
existing_loan_amount,4,"(61934.964, 83333.354]",61936.12873247512,83332.28599898586,9675,1240,0.1281653746770026
existing_loan_amount,5,"(83333.354, 113503.177]",83334.065911555,113502.48059300795,9675,1185,0.12248062015503876
existing_loan_amount,6,"(113503.177, 164744.367]",113504.22285947649,164744.34916597462,9675,1106,0.11431524547803618
existing_loan_amount,7,"(164744.367, 913088.884]",164744.43622650226,913088.8836165257,9675,893,0.09229974160206718
monthly_emi,1,"(-0.001, 1519.829]",0.0,1519.8196183379364,38700,3697,0.0955297157622739
monthly_emi,2,"(1519.829, 2440.464]",1519.868920134085,2440.46415055075,9675,1343,0.13881136950904394
monthly_emi,3,"(2440.464, 3436.05]",2440.5227643748717,3435.9490520605777,9674,1274,0.1316931982633864
monthly_emi,4,"(3436.05, 4636.348]",3436.075415163928,4636.32968923258,9675,1224,0.12651162790697673
monthly_emi,5,"(4636.348, 6301.811]",4636.360635273373,6301.807264761141,9675,1181,0.1220671834625323
monthly_emi,6,"(6301.811, 9141.07]",6301.816709981568,9141.054061754292,9675,1129,0.11669250645994832
monthly_emi,7,"(9141.07, 47666.092]",9141.133049593218,47666.09161038435,9675,890,0.09198966408268734
savings_balance,1,"(2564.5679999999998, 18726.548]",2564.569032985915,18726.13995910462,9675,2553,0.2638759689922481
savings_balance,2,"(18726.548, 32365.115]",18726.6497397259,32364.50942020605,9675,1824,0.18852713178294572
savings_balance,3,"(32365.115, 45551.284]",32365.5191525951,45550.637306886136,9675,1449,0.14976744186046512
savings_balance,4,"(45551.284, 59597.958]",45552.25497586609,59597.87995461131,9675,1206,0.12465116279069767
savings_balance,5,"(59597.958, 75415.776]",59598.27093224057,75415.77586579596,9675,997,0.10304909560723514
savings_balance,6,"(75415.776, 94335.682]",75417.47133213168,94332.8107889456,9674,805,0.08321273516642547
savings_balance,7,"(94335.682, 118462.762]",94336.39961152892,118459.01356638777,9675,691,0.07142118863049096
savings_balance,8,"(118462.762, 153878.458]",118465.26128615293,153877.25156342948,9675,524,0.05416020671834625
savings_balance,9,"(153878.458, 215683.874]",153880.26681639394,215683.13832790227,9675,410,0.04237726098191214
savings_balance,10,"(215683.874, 446253.181]",215686.81758744133,446253.18112452596,9675,279,0.02883720930232558
total_assets,1,"(33545.067, 111203.883]",33545.06781076769,111199.31480571596,9675,1917,0.19813953488372094
total_assets,2,"(111203.883, 176391.877]",111205.02454987075,176389.67363451095,9675,1483,0.15328165374677002
total_assets,3,"(176391.877, 243398.415]",176393.34623668698,243395.1559297206,9675,1310,0.13540051679586562
total_assets,4,"(243398.415, 316459.287]",243403.30270415088,316458.59764599055,9675,1139,0.11772609819121448
total_assets,5,"(316459.287, 393430.934]",316462.04326934164,393430.9339327313,10948,1254,0.11454146876141762
total_assets,6,"(393430.934, 476227.158]",393436.22006839805,476227.1583476637,8402,843,0.10033325398714592
total_assets,7,"(476227.158, 592915.842]",476227.77253034746,592896.4182958433,9674,861,0.08900144717800289
total_assets,8,"(592915.842, 758029.153]",592928.7909956551,758027.3374316222,9675,778,0.08041343669250646
total_assets,9,"(758029.153, 1056514.26]",758031.8753900309,1056504.5199568735,9675,661,0.06832041343669251
total_assets,10,"(1056514.26, 2119259.774]",1056553.2190056206,2119259.7744545955,9675,492,0.050852713178294574
total_liabilities,1,"(39715.955, 127127.567]",39715.95637854492,127112.19067088129,9675,1218,0.12589147286821706
total_liabilities,2,"(127127.567, 198460.47]",127131.4109140723,198458.1430488752,9675,1265,0.13074935400516796
total_liabilities,3,"(198460.47, 268706.922]",198462.02105765548,268705.63241735584,9675,1225,0.12661498708010335
total_liabilities,4,"(268706.922, 346889.944]",268708.85746968177,346886.51267901715,9675,1182,0.12217054263565892
total_liabilities,5,"(346889.944, 436697.344]",346903.66871653486,436697.34387892496,9675,1136,0.11741602067183463
total_liabilities,6,"(436697.344, 547060.11]",436727.8965918319,547039.9023727672,9674,1069,0.11050237750671904
total_liabilities,7,"(547060.11, 695827.93]",547065.1623246934,695811.0135406054,9675,1006,0.10397932816537468
total_liabilities,8,"(695827.93, 917315.419]",695839.2068674254,917295.8262028998,9675,998,0.10315245478036175
total_liabilities,9,"(917315.419, 1319335.672]",917344.8094093989,1319302.8721598762,9675,887,0.09167958656330749
total_liabilities,10,"(1319335.672, 2938056.654]",1319466.8730464051,2938056.6536767706,9675,752,0.07772609819121447
credit_history_months,1,"(-0.001, 34.0]",0.0,34.0,9918,2177,0.2194998991732204
credit_history_months,2,"(34.0, 60.0]",35.0,60.0,9675,1739,0.17974160206718345
credit_history_months,3,"(60.0, 81.0]",61.0,81.0,9910,1541,0.1554994954591322
credit_history_months,4,"(81.0, 99.0]",82.0,99.0,9289,1197,0.12886209495101733
credit_history_months,5,"(99.0, 118.0]",100.0,118.0,10003,1089,0.10886733979806058
credit_history_months,6,"(118.0, 137.0]",119.0,137.0,9730,874,0.08982528263103802
credit_history_months,7,"(137.0, 157.0]",138.0,157.0,9412,733,0.07787930301742456
credit_history_months,8,"(157.0, 182.0]",158.0,182.0,9749,639,0.06554518412144836
credit_history_months,9,"(182.0, 216.0]",183.0,216.0,9465,466,0.049234020073956684
credit_history_months,10,"(216.0, 391.0]",217.0,391.0,9598,283,0.029485309439466555
num_credit_accounts,1,"(0.999, 2.0]",1.0,2.0,14000,2689,0.19207142857142856
num_credit_accounts,2,"(2.0, 3.0]",3.0,3.0,9811,1533,0.1562531852002854
num_credit_accounts,3,"(3.0, 4.0]",4.0,4.0,10546,1399,0.1326569315380239
num_credit_accounts,4,"(4.0, 5.0]",5.0,5.0,10523,1254,0.11916753777439894
num_credit_accounts,5,"(5.0, 6.0]",6.0,6.0,10129,1009,0.09961496692664626
num_credit_accounts,6,"(6.0, 7.0]",7.0,7.0,9227,850,0.09212094938766663
num_credit_accounts,7,"(7.0, 8.0]",8.0,8.0,7657,575,0.07509468460232467
num_credit_accounts,8,"(8.0, 9.0]",9.0,9.0,6438,429,0.06663560111835974
num_credit_accounts,9,"(9.0, 11.0]",10.0,11.0,8916,540,0.06056527590847914
num_credit_accounts,10,"(11.0, 23.0]",12.0,23.0,9502,460,0.0484108608713955
total_credit_limit,1,"(168927.27300000002, 433611.015]",168927.2744208384,433608.7099869953,9675,2062,0.2131266149870801
total_credit_limit,2,"(433611.015, 634601.087]",433611.59149637056,634589.318267977,9675,1656,0.17116279069767443
total_credit_limit,3,"(634601.087, 822411.425]",634608.9329301899,822410.1628848178,9675,1331,0.13757105943152456
total_credit_limit,4,"(822411.425, 1022832.399]",822413.317357767,1022830.3340464227,9675,1223,0.12640826873385014
total_credit_limit,5,"(1022832.399, 1251245.547]",1022840.6593660981,1251245.5472298209,9675,1010,0.10439276485788114
total_credit_limit,6,"(1251245.547, 1521146.321]",1251269.2738211544,1521052.018517224,9674,927,0.09582385776307628
total_credit_limit,7,"(1521146.321, 1861031.305]",1521169.8969502975,1860979.7258480524,9675,841,0.08692506459948321
total_credit_limit,8,"(1861031.305, 2350193.858]",1861065.6914527675,2350159.406656309,9675,732,0.07565891472868216
total_credit_limit,9,"(2350193.858, 3223844.26]",2350245.5359153105,3223784.821734459,9675,555,0.05736434108527132
total_credit_limit,10,"(3223844.26, 6434015.523]",3224082.013961861,6434015.523229869,9675,401,0.04144702842377261
total_outstanding,1,"(30055.817, 101918.922]",30055.817932419148,101917.00497198556,9675,1249,0.12909560723514213
total_outstanding,2,"(101918.922, 163616.012]",101919.40137565308,163590.57549622894,9675,1283,0.13260981912144704
total_outstanding,3,"(163616.012, 225598.708]",163632.9703563646,225598.32658530975,9675,1220,0.12609819121447027
total_outstanding,4,"(225598.708, 295329.757]",225599.2810369673,295329.1049976764,9675,1192,0.12320413436692507
total_outstanding,5,"(295329.757, 378025.697]",295332.3638259569,378025.6968927142,9675,1129,0.11669250645994832
total_outstanding,6,"(378025.697, 479853.154]",378028.3880573539,479851.0790457941,9674,1070,0.11060574736406864
total_outstanding,7,"(479853.154, 616605.331]",479853.6730894897,616600.9152942214,9675,991,0.10242894056847546
total_outstanding,8,"(616605.331, 824192.799]",616608.2748603111,824178.7718258961,9675,996,0.10294573643410852
total_outstanding,9,"(824192.799, 1205949.501]",824213.8395677923,1205940.8671538369,9675,874,0.0903359173126615
total_outstanding,10,"(1205949.501, 2734753.736]",1205984.0362572896,2734753.735666514,9675,734,0.0758656330749354
previous_defaults,1,"(-0.001, 10.0]",0.0,10.0,96749,10738,0.1109882272684989
late_payments_12m,1,"(-0.001, 1.0]",0.0,1.0,83467,8447,0.10120167251728228
late_payments_12m,2,"(1.0, 2.0]",2.0,2.0,9086,1402,0.1543033237948492
late_payments_12m,3,"(2.0, 8.0]",3.0,8.0,4196,889,0.21186844613918018
missed_payments_12m,1,"(-0.001, 1.0]",0.0,1.0,89424,9691,0.10837135444623368
missed_payments_12m,2,"(1.0, 7.0]",2.0,7.0,7325,1047,0.14293515358361775
active_loans,1,"(-0.001, 1.0]",0.0,1.0,59478,5694,0.09573287602138605
active_loans,2,"(1.0, 2.0]",2.0,2.0,21484,2659,0.12376652392478123
active_loans,3,"(2.0, 3.0]",3.0,3.0,10658,1539,0.14439857384124602
active_loans,4,"(3.0, 9.0]",4.0,9.0,5129,846,0.16494443361279001
closed_loans,1,"(-0.001, 2.0]",0.0,2.0,16130,3032,0.1879727216367018
closed_loans,2,"(2.0, 3.0]",3.0,3.0,7307,1159,0.15861502668673874
closed_loans,3,"(3.0, 4.0]",4.0,4.0,8036,1139,0.14173718267794924
closed_loans,4,"(4.0, 5.0]",5.0,5.0,8574,1033,0.12048052250991369
closed_loans,5,"(5.0, 7.0]",6.0,7.0,15945,1619,0.1015365318281593
closed_loans,6,"(7.0, 8.0]",8.0,8.0,7090,691,0.09746121297602257
closed_loans,7,"(8.0, 9.0]",9.0,9.0,6315,541,0.08566904196357879
closed_loans,8,"(9.0, 11.0]",10.0,11.0,10461,724,0.06920944460376637
closed_loans,9,"(11.0, 14.0]",12.0,14.0,9659,522,0.054042861579873695
closed_loans,10,"(14.0, 31.0]",15.0,31.0,7232,278,0.03844026548672566
dti,1,"(0.289, 0.477]",0.2898396321816114,0.4765585308752164,9675,508,0.052506459948320414
dti,2,"(0.477, 0.54]",0.47656455405188936,0.5403110519753948,9675,658,0.06801033591731266
dti,3,"(0.54, 0.59]",0.540325208673535,0.589877857896023,9675,728,0.0752454780361757
dti,4,"(0.59, 0.634]",0.5898931998418422,0.6337867259882936,9675,862,0.08909560723514212
dti,5,"(0.634, 0.675]",0.633798887181499,0.6752249598223998,9675,929,0.09602067183462533
dti,6,"(0.675, 0.718]",0.6752300091304546,0.7182893608992408,9674,1000,0.10336985734959686
dti,7,"(0.718, 0.764]",0.7182997026265245,0.7638843208924889,9675,1152,0.11906976744186047
dti,8,"(0.764, 0.817]",0.7638957343697954,0.8174342587743496,9675,1309,0.13529715762273903
dti,9,"(0.817, 0.889]",0.8174409987282869,0.8886560737557944,9675,1553,0.16051679586563308
dti,10,"(0.889, 1.4]",0.8886656817849496,1.4003088524199265,9675,2039,0.21074935400516795
emi_to_income,1,"(-0.001, 0.0777]",0.0,0.0776541857660017,38700,2997,0.07744186046511628
emi_to_income,2,"(0.0777, 0.107]",0.07765670006693273,0.10696599703487034,9675,937,0.09684754521963825
emi_to_income,3,"(0.107, 0.132]",0.10696625416760762,0.13156803350125776,9674,1105,0.11422369237130453
emi_to_income,4,"(0.132, 0.157]",0.131571428170445,0.15690963585541629,9675,1159,0.11979328165374677
emi_to_income,5,"(0.157, 0.187]",0.1569119173888826,0.1867932274358623,9675,1295,0.1338501291989664
emi_to_income,6,"(0.187, 0.232]",0.1867937479812181,0.2319882512482918,9675,1416,0.14635658914728683
emi_to_income,7,"(0.232, 0.64]",0.2319912560345205,0.6401763749384325,9675,1829,0.1890439276485788
credit_utilization,1,"(0.0108, 0.142]",0.011804057663534921,0.14160591879883366,9675,431,0.04454780361757106
credit_utilization,2,"(0.142, 0.192]",0.1416077008580872,0.19152391406090002,9675,725,0.07493540051679587
credit_utilization,3,"(0.192, 0.236]",0.1915289717033485,0.23612590686172322,9675,785,0.08113695090439277
credit_utilization,4,"(0.236, 0.278]",0.2361330047797175,0.2784200280153067,9675,874,0.0903359173126615
credit_utilization,5,"(0.278, 0.322]",0.2784205030551606,0.3222940726274338,9675,978,0.10108527131782946
credit_utilization,6,"(0.322, 0.368]",0.32229961551643815,0.3683223732689477,9674,1044,0.10791813107297912
credit_utilization,7,"(0.368, 0.421]",0.36832421250970016,0.42112166358922987,9675,1108,0.1145219638242894
credit_utilization,8,"(0.421, 0.481]",0.42112737558953656,0.4812467179240162,9676,1239,0.12804878048780488
credit_utilization,9,"(0.481, 0.571]",0.4812538019426328,0.5705934243453326,9674,1488,0.15381434773620012
credit_utilization,10,"(0.571, 1.054]",0.5706152109118039,1.0538061150386744,9675,2066,0.21354005167958656
loan_to_income,1,"(0.0608, 0.232]",0.061779160248381676,0.23154945691634382,9675,504,0.052093023255813956
loan_to_income,2,"(0.232, 0.372]",0.2315532474268031,0.37168109529372406,9675,572,0.05912144702842377
loan_to_income,3,"(0.372, 0.469]",0.37168145452690016,0.46891038096973403,9675,643,0.06645994832041344
loan_to_income,4,"(0.469, 0.554]",0.4689145068673704,0.5537962574351747,9675,664,0.06863049095607235
loan_to_income,5,"(0.554, 0.647]",0.5537996335748954,0.6473164259822567,9675,694,0.0717312661498708
loan_to_income,6,"(0.647, 0.772]",0.6473192128714381,0.7722648297507508,9674,710,0.07339259871821377
loan_to_income,7,"(0.772, 0.98]",0.7722806547382267,0.9799315255017325,9675,766,0.07917312661498709
loan_to_income,8,"(0.98, 1.532]",0.9799405506259915,1.531535881082134,9675,915,0.09457364341085271
loan_to_income,9,"(1.532, 3.462]",1.5315369453600318,3.4617560204571847,9675,1551,0.16031007751937984
loan_to_income,10,"(3.462, 10.0]",3.4617582443291974,10.0,9675,3719,0.38439276485788115
proposed_emi,1,"(280.473, 2299.281]",280.47416544195386,2299.2643464068196,9675,1176,0.12155038759689922
proposed_emi,2,"(2299.281, 3393.787]",2299.2846920978313,3393.7681595749395,9675,958,0.09901808785529716
proposed_emi,3,"(3393.787, 4500.95]",3393.799615656789,4500.910589416977,9675,957,0.09891472868217054
proposed_emi,4,"(4500.95, 5785.905]",4501.0082280507295,5785.89802411512,9675,979,0.10118863049095607
proposed_emi,5,"(5785.905, 7275.957]",5785.93432419019,7275.957296973119,9675,985,0.10180878552971576
proposed_emi,6,"(7275.957, 9155.261]",7276.434815671936,9155.11944845603,9674,1054,0.10895182964647508
proposed_emi,7,"(9155.261, 11760.944]",9155.296480100393,11760.717672560739,9675,1059,0.10945736434108527
proposed_emi,8,"(11760.944, 15746.846]",11761.09421141253,15746.170610395424,9675,1153,0.11917312661498708
proposed_emi,9,"(15746.846, 23158.043]",15747.85812303876,23158.02682616612,9675,1239,0.12806201550387597
proposed_emi,10,"(23158.043, 289198.659]",23158.109257791668,289198.6592799006,9675,1178,0.12175710594315245
post_loan_dti,1,"(0.389, 0.689]",0.3895631577943038,0.6894596842911496,9675,317,0.03276485788113695
post_loan_dti,2,"(0.689, 0.774]",0.6894644258583043,0.7742453985113814,9675,410,0.04237726098191214
post_loan_dti,3,"(0.774, 0.841]",0.7742462848672228,0.8409820511611347,9675,525,0.05426356589147287
post_loan_dti,4,"(0.841, 0.9]",0.8409870829583886,0.9001375878975305,9675,635,0.06563307493540052
post_loan_dti,5,"(0.9, 0.96]",0.9001458008816067,0.9598087256850839,9675,792,0.08186046511627906
post_loan_dti,6,"(0.96, 1.022]",0.9598100793948661,1.0224773824003992,9674,958,0.09902832334091378
post_loan_dti,7,"(1.022, 1.096]",1.0224797825476053,1.0957321623910434,9675,1178,0.12175710594315245
post_loan_dti,8,"(1.096, 1.19]",1.0957323043533216,1.189569180112847,9675,1519,0.15700258397932818
post_loan_dti,9,"(1.19, 1.341]",1.1895754757839303,1.3407379180079206,9675,1972,0.20382428940568476
post_loan_dti,10,"(1.341, 5.0]",1.340766258812436,5.0,9675,2432,0.25136950904392763
savings_to_income,1,"(0.022099999999999998, 0.908]",0.023099487633131053,0.9081315062984151,9676,2139,0.22106242248863167
savings_to_income,2,"(0.908, 1.489]",0.9082879210240882,1.488744093869283,9674,1710,0.17676245606781063
savings_to_income,3,"(1.489, 1.972]",1.4887702392225257,1.9720894166410388,9675,1380,0.14263565891472868
savings_to_income,4,"(1.972, 2.418]",1.9721025754953545,2.41804703473807,9675,1230,0.12713178294573643
savings_to_income,5,"(2.418, 2.847]",2.4181560408108878,2.847075450474828,9675,1054,0.10894056847545219
savings_to_income,6,"(2.847, 3.286]",2.8471368817499623,3.2863179292330167,9674,918,0.09489352904692991
savings_to_income,7,"(3.286, 3.768]",3.2863201804723703,3.767539191568799,9675,741,0.0765891472868217
savings_to_income,8,"(3.768, 4.322]",3.767589876660103,4.322339821610253,9676,671,0.06934683753617198
savings_to_income,9,"(4.322, 5.116]",4.322343654253182,5.1157154228905375,9674,565,0.058403969402522224
savings_to_income,10,"(5.116, 12.085]",5.1158625898574766,12.08544633322422,9675,330,0.034108527131782945
net_worth,1,"(-2904511.5870000003, -694162.875]",-2904511.585866003,-694233.4480151628,9675,978,0.10108527131782946
net_worth,2,"(-694162.875, -383279.972]",-694145.2313818717,-383284.05084724235,9675,1151,0.11896640826873385
net_worth,3,"(-383279.972, -224844.519]",-383277.25258213497,-224846.57795727375,9675,1273,0.13157622739018088
net_worth,4,"(-224844.519, -119528.024]",-224841.42941404623,-119528.5942139933,9675,1337,0.13819121447028423
net_worth,5,"(-119528.024, -40474.913]",-119525.74494775757,-40474.91308410268,9675,1421,0.1468733850129199
net_worth,6,"(-40474.913, 29490.125]",-40470.39388579302,29472.278826760827,9674,1350,0.13954930742195576
net_worth,7,"(29490.125, 107315.462]",29494.586178560916,107313.63020461236,9675,1111,0.11483204134366926
net_worth,8,"(107315.462, 212140.9]",107316.68267540509,212140.32860030784,9675,932,0.09633074935400517
net_worth,9,"(212140.9, 386859.769]",212141.7579946511,386857.33901213115,9675,732,0.07565891472868216
net_worth,10,"(386859.769, 2057574.823]",386869.49036314315,2057574.82321269,9675,453,0.04682170542635659
leverage_ratio,1,"(0.0254, 0.386]",0.026415867667286055,0.3863135624053467,9675,613,0.06335917312661499
leverage_ratio,2,"(0.386, 0.562]",0.3863958282824927,0.5621965658090217,9675,782,0.08082687338501292
leverage_ratio,3,"(0.562, 0.731]",0.562198608776534,0.7313983519422129,9675,964,0.09963824289405684
leverage_ratio,4,"(0.731, 0.914]",0.7314066154999909,0.9143944478351882,9675,979,0.10118863049095607
leverage_ratio,5,"(0.914, 1.129]",0.9143958157436152,1.1293679759678352,9675,1087,0.1123514211886305
